"distance_km","timestamp_utc","latitude","longitude","frame"
"0.4","2026-09-02T14:57:58-06:00","38.79717","-105.1995","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.83N/10511.97Wj132/012/A=009202BAKSTAAJ-J 14.48V"
"0.4","2026-09-03T18:20:06-06:00","38.79683","-105.19933","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.81N/10511.96Wj146/016/A=009202BAKSTAAJ-J 14.53V"
"0.6","2026-09-02T14:58:29-06:00","38.79567","-105.19917","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.74N/10511.95Wj127/000/A=009261BAKSTAAJ-J 14.41V"
"0.6","2026-09-02T14:58:59-06:00","38.79567","-105.19917","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.74N/10511.95Wj127/000/A=009232BAKSTAAJ-J 14.39V"
"0.6","2026-09-02T15:33:15-06:00","38.7955","-105.19917","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.73N/10511.95Wj031/019/A=009314BAKSTAAJ-J 14.49V"
"0.6","2026-09-03T21:18:51-06:00","38.79583","-105.19917","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.75N/10511.95Wj360/017/A=009238N0JCG 444.440 MHz 14.31V"
"0.7","2026-09-03T18:20:36-06:00","38.79433","-105.19967","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.66N/10511.98Wj207/020/A=009232BAKSTAAJ-J 14.52V"
"0.8","2026-09-02T14:59:28-06:00","38.79333","-105.20017","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.60N/10512.01Wj175/025/A=009192BAKSTAAJ-J 14.59V"
"0.8","2026-09-03T21:18:21-06:00","38.79317","-105.20017","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.59N/10512.01Wj359/019/A=009212N0JCG 444.440 MHz 14.33V"
"0.9","2026-09-02T15:32:45-06:00","38.7925","-105.20017","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.55N/10512.01Wj055/021/A=009248BAKSTAAJ-J 14.57V"
"1","2026-09-03T18:21:06-06:00","38.79217","-105.2015","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.53N/10512.09Wj271/022/A=009156BAKSTAAJ-J 14.52V"
"1","2026-09-03T21:17:51-06:00","38.79167","-105.20233","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.50N/10512.14Wj351/020/A=009133N0JCG 444.440 MHz 14.35V"
"1.1","2026-09-02T14:59:59-06:00","38.7915","-105.20233","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.49N/10512.14Wj166/025/A=009107BAKSTAAJ-J 14.59V"
"1.1","2026-09-02T15:32:15-06:00","38.79117","-105.202","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.47N/10512.12Wj036/018/A=009163BAKSTAAJ-J 14.49V"
"1.2","2026-09-02T15:00:29-06:00","38.78983","-105.20333","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.39N/10512.20Wj344/021/A=009055BAKSTAAJ-J 14.55V"
